scenario,n,mean,std,difficulty_score,categories_used
fork,18,0.8674444444444445,0.08919405948219636,0.7782503849622481,structural+semantic
loop,18,0.8801666666666667,0.08507137526153488,0.7950952914051318,structural+semantic
trycatch,18,0.8685,0.07226052403168229,0.7962394759683178,structural+semantic
simple,18,0.9,0.09758187445536298,0.802418125544637,structural+semantic
